"device_name","machine_definition","variable_name","value","timestamp","variable_attribute","device","machine_def","year","month","date"
"be714-em63-multi-client","M601-35","Injection_time","0.314","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Dosage_time","1.06","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Injection_pressure","1129","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Switch_pressure","1124","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cycle_time","9.55","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_start_position","4.87","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z1","509","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z2","0","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z3","508.9","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z4","500","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z5","482","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z6","0","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z7","0","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z8","121.7","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Switch_position","8","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Machine_status","0A000","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Scrap_counter","1288","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_counter","179071","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_size","32.8","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_torque","42.95","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_time","0.317","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_position","7.73","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Ejector_fix_deviation_torque","22.6","2025-11-22 01:47:58.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Time_on_machine","01:48:08","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cushion","4.92","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Injection_time","0.314","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Dosage_time","1.06","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Injection_pressure","1130","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Switch_pressure","1125","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cycle_time","9.56","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_start_position","4.85","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z1","508.9","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z2","0","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z3","508.9","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z4","499.9","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z5","481.9","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z6","0","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z7","0","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z8","121.8","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Switch_position","8","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Machine_status","0A000","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Scrap_counter","1288","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_counter","179072","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Shot_size","32.8","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_torque","43.24","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_time","0.317","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Peak_pressure_position","7.73","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Ejector_fix_deviation_torque","24.5","2025-11-22 01:48:08.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Time_on_machine","01:48:38","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cushion","4.91","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Injection_time","0.314","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Dosage_time","1.07","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Injection_pressure","1129","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Switch_pressure","1125","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cycle_time","9.54","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Extruder_start_position","4.86","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z1","509","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z2","0","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z3","509","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z4","500","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z5","482.1","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z6","0","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z7","0","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
"be714-em63-multi-client","M601-35","Cyl_tmp_z8","122.2","2025-11-22 01:48:38.000000",,"be714-em63-multi-client","M601-35","2025","11","2025-11-22"
